--- Profiling Results for SpeqGCN ---
Device: cuda

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         model_backward        27.14%      83.754ms        27.18%      83.891ms      27.964ms     106.946ms        34.31%     107.082ms      35.694ms           0 b           0 b      -1.71 Gb      -1.71 Gb             3  
                             aten::convolution_backward         2.02%       6.225ms         2.65%       8.183ms     151.528us      53.418ms        17.14%      57.758ms       1.070ms           0 b           0 b     984.51 Mb     855.58 Mb            54  
                                aten::cudnn_convolution         0.57%       1.772ms         0.57%       1.772ms      39.378us      20.028ms         6.42%      20.028ms     445.067us           0 b           0 b     689.97 Mb     689.97 Mb            45  
                       aten::native_batch_norm_backward         0.99%       3.061ms         1.86%       5.754ms     136.998us       8.719ms         2.80%      12.318ms     293.286us           0 b           0 b     684.44 Mb           0 b            42  
                               aten::threshold_backward         0.18%     544.600us         0.18%     544.600us      11.346us       6.207ms         1.99%       6.207ms     129.312us           0 b           0 b     688.82 Mb     688.82 Mb            48  
                                 aten::cudnn_batch_norm         0.93%       2.865ms         1.15%       3.539ms      84.255us       6.152ms         1.97%       6.859ms     163.310us           0 b           0 b     684.37 Mb           0 b            42  
                                             aten::add_         0.25%     771.200us         0.25%     771.200us       2.921us       5.684ms         1.82%       5.684ms      21.530us           0 b           0 b           0 b           0 b           264  
                                      aten::result_type         0.05%     166.200us         0.05%     166.200us       0.157us       5.451ms         1.75%       5.451ms       5.152us           0 b           0 b           0 b           0 b          1058  
                                        model_inference         4.00%      12.336ms        30.74%      94.887ms      31.629ms       5.331ms         1.71%      70.956ms      23.652ms           0 b           0 b       1.81 Gb    -659.43 Mb             3  
                                             aten::item         6.87%      21.207ms         6.95%      21.438ms      50.681us       4.474ms         1.44%       6.656ms      15.735us           0 b           0 b           0 b           0 b           423  
