--- Profiling Results for SpeqGCN2 ---
Device: cuda

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     torch_cluster::knn         0.06%     428.100us        60.28%     455.292ms     151.764ms     452.589ms        59.30%     455.454ms     151.818ms           0 b           0 b     837.00 Kb      -1.69 Mb             3  
                                         model_backward        10.12%      76.438ms        10.14%      76.613ms      25.538ms     104.873ms        13.74%     105.066ms      35.022ms           0 b           0 b      -1.72 Gb      -1.72 Gb             3  
                             aten::convolution_backward         2.27%      17.168ms         2.53%      19.090ms     353.517us      51.610ms         6.76%      56.697ms       1.050ms           0 b           0 b     980.01 Mb     855.58 Mb            54  
                                aten::cudnn_convolution         0.23%       1.740ms         0.23%       1.740ms      38.656us      18.512ms         2.43%      18.512ms     411.378us           0 b           0 b     690.72 Mb     690.72 Mb            45  
                       aten::native_batch_norm_backward         0.43%       3.227ms         0.72%       5.443ms     129.607us       8.517ms         1.12%      12.001ms     285.738us           0 b           0 b     684.44 Mb           0 b            42  
                                 aten::cudnn_batch_norm         0.37%       2.804ms         0.46%       3.509ms      83.552us       7.252ms         0.95%       7.745ms     184.405us           0 b           0 b     685.49 Mb           0 b            42  
                                        model_inference         1.73%      13.076ms        73.01%     551.425ms     183.808ms       6.704ms         0.88%     528.323ms     176.108ms           0 b           0 b       1.81 Gb    -635.28 Mb             3  
                               aten::threshold_backward         0.08%     623.600us         0.08%     623.600us      12.992us       6.573ms         0.86%       6.573ms     136.938us           0 b           0 b     688.82 Mb     688.82 Mb            48  
                                             aten::add_         0.09%     707.000us         0.09%     707.000us       2.698us       6.139ms         0.80%       6.139ms      23.431us           0 b           0 b           0 b           0 b           262  
                                      aten::result_type         0.02%     124.400us         0.02%     124.400us       0.118us       5.208ms         0.68%       5.208ms       4.922us           0 b           0 b           0 b           0 b          1058  
