--- Profiling Results for UGCN ---
Device: cuda

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         model_backward        32.24%        1.132s        32.25%        1.132s     377.219ms        1.185s        36.50%        1.185s     395.028ms           0 b           0 b     -28.51 Gb     -28.51 Gb             3  
                             aten::convolution_backward         7.60%     266.854ms         8.97%     314.631ms       5.244ms     782.517ms        24.11%     828.715ms      13.812ms           0 b           0 b      13.96 Gb      13.50 Gb            60  
                                aten::cudnn_convolution         0.06%       2.025ms         0.06%       2.025ms      42.190us     265.293ms         8.17%     265.293ms       5.527ms           0 b           0 b      10.66 Gb      10.66 Gb            48  
                                             aten::topk         0.01%     341.200us         0.01%     341.200us     113.733us     173.109ms         5.33%     173.109ms      57.703ms           0 b           0 b       9.30 Mb       9.30 Mb             3  
                       aten::native_batch_norm_backward         2.98%     104.617ms         3.50%     122.929ms       2.927ms     120.882ms         3.72%     131.385ms       3.128ms           0 b           0 b      10.62 Gb           0 b            42  
                               aten::threshold_backward         1.85%      64.885ms         1.85%      64.885ms       1.352ms      89.768ms         2.77%      89.768ms       1.870ms           0 b           0 b      10.64 Gb      10.64 Gb            48  
                                             aten::add_         0.03%     929.300us         0.03%     929.300us       3.404us      75.674ms         2.33%      75.674ms     277.194us           0 b           0 b           0 b           0 b           273  
                                 aten::cudnn_batch_norm         0.08%       2.790ms         0.11%       3.774ms      89.850us      66.525ms         2.05%      67.245ms       1.601ms           0 b           0 b      10.62 Gb           0 b            42  
                                       aten::clamp_min_         0.01%     397.400us         0.01%     397.400us       9.462us      58.957ms         1.82%      58.957ms       1.404ms           0 b           0 b           0 b           0 b            42  
                                              aten::cat         0.01%     345.000us         0.01%     345.000us      16.429us      38.871ms         1.20%      38.871ms       1.851ms           0 b           0 b       5.18 Gb       5.18 Gb            21  
