--- Profiling Results for UGCN2 ---
Device: cuda

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     torch_cluster::knn         0.00%     413.500us        92.80%       43.134s       14.378s       43.131s        93.21%       43.134s       14.378s           0 b           0 b      13.16 Mb     -30.11 Mb             3  
                                         model_backward         2.50%        1.163s         2.50%        1.163s     387.599ms        1.229s         2.66%        1.229s     409.807ms           0 b           0 b     -28.51 Gb     -28.51 Gb             3  
                             aten::convolution_backward         0.39%     180.056ms         0.52%     242.518ms       4.042ms     816.897ms         1.77%     864.663ms      14.411ms           0 b           0 b      13.96 Gb      13.50 Gb            60  
                                aten::cudnn_convolution         0.00%       1.904ms         0.00%       1.904ms      39.667us     275.147ms         0.59%     275.147ms       5.732ms           0 b           0 b      10.66 Gb      10.66 Gb            48  
                       aten::native_batch_norm_backward         0.20%      91.948ms         0.30%     138.930ms       3.308ms     121.253ms         0.26%     133.826ms       3.186ms           0 b           0 b      10.62 Gb           0 b            42  
                               aten::threshold_backward         0.14%      62.796ms         0.14%      62.796ms       1.308ms      89.138ms         0.19%      89.138ms       1.857ms           0 b           0 b      10.64 Gb      10.64 Gb            48  
                                             aten::add_         0.00%       1.016ms         0.00%       1.016ms       3.720us      74.578ms         0.16%      74.578ms     273.179us           0 b           0 b           0 b           0 b           273  
                                 aten::cudnn_batch_norm         0.01%       2.700ms         0.01%       3.378ms      80.424us      67.086ms         0.14%      68.246ms       1.625ms           0 b           0 b      10.62 Gb           0 b            42  
                                       aten::clamp_min_         0.00%     377.500us         0.00%     377.500us       8.988us      58.460ms         0.13%      58.460ms       1.392ms           0 b           0 b           0 b           0 b            42  
                                              aten::cat         0.00%     372.600us         0.00%     372.600us      15.525us      38.840ms         0.08%      38.840ms       1.618ms           0 b           0 b       5.19 Gb       5.19 Gb            24  
